PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,WikiId,Name_wiki,Age_wiki,Hometown,Boarded,Destination,Lifeboat,Body,Class
208,1.0,3,"Albimona, Mr. Nassef Cassem",male,26.0,0,0,2699,18.7875,,C,622.0,"Al-Muna, Mr. Nasif Qasim",26.0,"Fredericksburg, Virginia, US",Cherbourg,"Fredericksburg, Virginia, US",15,,3.0
210,1.0,1,"Blank, Mr. Henry",male,40.0,0,0,112277,31.0,A31,C,34.0,"Blank, Mr. Henry",39.0,"Glen Ridge, New Jersey, US",Cherbourg,"Glen Ridge, New Jersey, US",7,,1.0
221,1.0,3,"Sunderland, Mr. Victor Francis",male,16.0,0,0,SOTON/OQ 392089,8.05,,S,1240.0,"Sunderland, Mr. Victor Francis",20.0,"London, England",Southampton,"Cleveland, Ohio, US",B,,3.0
225,1.0,1,"Hoyt, Mr. Frederick Maxfield",male,38.0,1,0,19943,90.0,C93,S,166.0,"Hoyt, Mr. Frederick Maxfield",35.0,"New York, New York, US",Southampton,"Stamford, Connecticut, US",D,,1.0
227,1.0,2,"Mellors, Mr. William John",male,19.0,0,0,SW/PP 751,10.5,,S,510.0,"Mellors, Mr. William John",19.0,"Chelsea, London, England",Southampton,"Long Island, New York, US",B,,2.0
249,1.0,1,"Beckwith, Mr. Richard Leonard",male,37.0,1,1,11751,52.5542,D35,S,26.0,"Beckwith, Mr. Richard Leonard",37.0,"New York, New York, US",Southampton,"New York, New York, US",5,,1.0
262,1.0,3,"Asplund, Master. Edvin Rojj Felix",male,3.0,4,2,347077,31.3875,,S,654.0,"Asplund, Master Edvin Rojj Felix",3.0,"Alseda, Småland, Sweden",Southampton,"Worcester, Massachusetts, US",15,,3.0
268,1.0,3,"Persson, Mr. Ernst Ulrik",male,25.0,1,0,347083,7.775,,S,1127.0,"Persson, Mr. Ernst Ulrik",25.0,"Stockholm, Uppland, Sweden",Southampton,"Indianapolis, Indiana, US",15,,3.0
272,1.0,3,"Tornquist, Mr. William Henry",male,25.0,0,0,LINE,0.0,,S,1262.0,"Törnquist, Mr. William Henry",25.0,"Sundbyberg, Sweden",Southampton,New York City,15,,3.0
284,1.0,3,"Dorking, Mr. Edward Arthur",male,19.0,0,0,A/5. 10482,8.05,,S,784.0,"Dorking, Mr. Edward Arthur",18.0,"Liss, Hampshire, England",Southampton,"Oglesby, Illinois, US",B,,3.0
287,1.0,3,"de Mulder, Mr. Theodore",male,30.0,0,0,345774,9.5,,S,768.0,"de Mulder, Mr. Theodoor",36.0,"Aspelare, East Flanders, Belgium",Southampton,"Detroit, Michigan, US",11,,3.0
289,1.0,2,"Hosono, Mr. Masabumi",male,42.0,0,0,237798,13.0,,S,459.0,"Hosono, Mr. Masabumi",41.0,"Tokyo, Japan",Southampton,"Tokyo, Japan",10,,2.0
299,1.0,1,"Saalfeld, Mr. Adolphe",male,,0,0,19988,30.5,C106,S,253.0,"Saalfeld, Mr. Adolphe",47.0,"Manchester, England, UK",Southampton,"New York, New York, US",3,,1.0
302,1.0,3,"McCoy, Mr. Bernard",male,,2,0,367226,23.25,,Q,1010.0,"McCoy, Mr. Bernard",24.0,"Carrickatane, Tyrone, Ireland",Queenstown,"Brooklyn, New York, US",16,,3.0
306,1.0,1,"Allison, Master. Hudson Trevor",male,0.92,1,2,113781,151.55,C22 C26,S,8.0,"Allison, Master Hudson Trevor",0.92,"Montreal, Quebec, Canada",Southampton,"Montreal, Quebec, Canada",11,,1.0
339,1.0,3,"Dahl, Mr. Karl Edwart",male,45.0,0,0,7598,8.05,,S,751.0,"Dahl, Mr. Charles Edwart",45.0,"Adelaide, South Australia, Australia",Southampton,"Fingal, North Dakota, US",15,,3.0
341,1.0,2,"Navratil, Master. Edmond Roger",male,2.0,1,1,230080,26.0,F2,S,523.0,"Navratil, Master Edmond Roger",2.0,"Nice, France",Southampton,New York City,D,,2.0
349,1.0,3,"Coutts, Master. William Loch ""William""",male,3.0,1,1,C.A. 37671,15.9,,S,743.0,"Coutts, Master William Loch ""Willie""",9.0,"London, England",Southampton,"Brooklyn, New York, US",2,,3.0
371,1.0,1,"Harder, Mr. George Achilles",male,25.0,1,0,11765,55.4417,E50,C,144.0,"Harder, Mr. George Achilles",25.0,"New York, New York, US",Cherbourg,"New York, New York, US",5,,1.0
391,1.0,1,"Carter, Mr. William Ernest",male,36.0,1,2,113760,120.0,B96 B98,S,57.0,"Carter, Mr. William Ernest",36.0,"Bryn Mawr, Pennsylvania, US",Southampton,"Bryn Mawr, Pennsylvania, US",C,,1.0
392,1.0,3,"Jansson, Mr. Carl Olof",male,21.0,0,0,350034,7.7958,,S,887.0,"Jansson, Mr. Carl Olof",21.0,"Örebro, Sweden",Southampton,"Swedeburg, Nebraska, US",A,,3.0
401,1.0,3,"Niskanen, Mr. Juha",male,39.0,0,0,STON/O 2. 3101289,7.925,,S,1074.0,"Niskanen, Mr. Juha",39.0,"Kivijärvi, Finland",Southampton,"Boston, Massachusetts, US",9,,3.0
408,1.0,2,"Richards, Master. William Rowe",male,3.0,1,1,29106,18.75,,S,554.0,"Richards, Master William Rowe",3.0,"Penzance, Cornwall, England",Southampton,"Akron, Ohio, US",4,,2.0
415,1.0,3,"Sundman, Mr. Johan Julian",male,44.0,0,0,STON/O 2. 3101269,7.925,,S,1241.0,"Sundman, Mr. Johan Julian",44.0,"Munsala, Finland",Southampton,"Cheyenne, Wyoming, US",15,,3.0
430,1.0,3,"Pickard, Mr. Berk (Berk Trembisky)",male,32.0,0,0,SOTON/O.Q. 392078,8.05,E10,S,1135.0,"Pickard, Mr. Berk (Trembisky)",32.0,"Warsaw, Poland",Southampton,"San Francisco, US",9,,3.0
431,1.0,1,"Bjornstrom-Steffansson, Mr. Mauritz Hakan",male,28.0,0,0,110564,26.55,C52,S,32.0,"Björnström-Steffanson, Mr. Mauritz Håkan",28.0,"Stockholm, Sweden",Southampton,"Washington, DC, US",D,,1.0
445,1.0,3,"Johannesen-Bratthammer, Mr. Bernt",male,,0,0,65306,8.1125,,S,894.0,"Johannesen, Mr. Bernt Johannes",29.0,"Avaldsnes, Stavanger, Norway",Southampton,New York City,13,,3.0
446,1.0,1,"Dodge, Master. Washington",male,4.0,0,2,33638,81.8583,A34,S,99.0,"Dodge, Master Washington, Jr.",4.0,"San Francisco, California, US",Southampton,"San Francisco, California, US",5,,1.0
448,1.0,1,"Seward, Mr. Frederic Kimber",male,34.0,0,0,113794,26.55,,S,256.0,"Seward, Mr. Frederic Kimber",34.0,"New York, New York, US",Southampton,"New York, New York, US",7,,1.0
450,1.0,1,"Peuchen, Major. Arthur Godfrey",male,52.0,0,0,113786,30.5,C104,S,230.0,"Peuchen, Major Arthur Godfrey",52.0,"Toronto, Ontario, Canada",Southampton,"Toronto, Ontario, Canada",6,,1.0
454,1.0,1,"Goldenberg, Mr. Samuel L",male,49.0,1,0,17453,89.1042,C92,C,131.0,"Goldenberg, Mr. Samuel L.",47.0,"Paris, France",Cherbourg,"New York, New York, US",5,,1.0
456,1.0,3,"Jalsevac, Mr. Ivan",male,29.0,0,0,349240,7.8958,,C,886.0,"Jalševac, Mr. Ivan",29.0,"Topolovac, Croatia",Cherbourg,"Galesburg, Illinois, US",15,,3.0
461,1.0,1,"Anderson, Mr. Harry",male,48.0,0,0,19952,26.55,E12,S,10.0,"Anderson, Mr. Harry",47.0,"New York, New York, US",Southampton,"New York, New York, US",3,,1.0
485,1.0,1,"Bishop, Mr. Dickinson H",male,25.0,1,0,11967,91.0792,B49,C,30.0,"Bishop, Mr. Dickinson H. ""Dick""",25.0,"Dowagiac, Michigan, US",Cherbourg,"Dowagiac, Michigan, US",7,,1.0
490,1.0,3,"Coutts, Master. Eden Leslie ""Neville""",male,9.0,1,1,C.A. 37671,15.9,,S,744.0,"Coutts, Master Neville Leslie",3.0,"London, England",Southampton,"Brooklyn, New York, US",2,,3.0
508,1.0,1,"Bradley, Mr. George (""George Arthur Brayton"")",male,,0,0,111427,26.55,,S,41.0,"Brereton, Mr. George Andrew (alias George A. Brayton)",37.0,"Los Angeles, California, US",Southampton,"Los Angeles, California, US",9,,1.0
510,1.0,3,"Lang, Mr. Fang",male,26.0,0,0,1601,56.4958,,S,956.0,"Lang, Mr. Fang",26.0,"Hong Kong, China",Southampton,New York City,14,,3.0
511,1.0,3,"Daly, Mr. Eugene Patrick",male,29.0,0,0,382651,7.75,,Q,755.0,"Daly, Mr. Eugene Patrick",29.0,"Athlone, Westmeath, Ireland",Queenstown,New York City,B,,3.0
513,1.0,1,"McGough, Mr. James Robert",male,36.0,0,0,PC 17473,26.2875,E25,S,201.0,"McGough, Mr. James Robert",35.0,"Philadelphia, Pennsylvania, US",Southampton,"Philadelphia, Pennsylvania, US",7,,1.0
544,1.0,2,"Beane, Mr. Edward",male,32.0,1,0,2908,26.0,,S,339.0,"Beane, Mr. Edward",32.0,New York City,Southampton,New York City,13,,2.0
548,1.0,2,"Padro y Manent, Mr. Julian",male,,0,0,SC/PARIS 2146,13.8625,,C,530.0,"Padron Manent, Mr. Julian",26.0,"Barcelona, Catalonia, Spain",Cherbourg,"Havana, Cuba",9,,2.0
550,1.0,2,"Davies, Master. John Morgan Jr",male,8.0,1,1,C.A. 33112,36.75,,S,393.0,"Davies, Master John Morgan Jr.",8.0,"St. Ives, Cornwall, England, UK",Southampton,"Houghton, Michigan, US",14,,2.0
551,1.0,1,"Thayer, Mr. John Borland Jr",male,17.0,0,2,17421,110.8833,C70,C,299.0,"Thayer, Mr. John Borland ""Jack"" III",17.0,"Haverford, Pennsylvania, US",Cherbourg,"Haverford, Pennsylvania, US",B,,1.0
554,1.0,3,"Leeni, Mr. Fahim (""Philip Zenni"")",male,22.0,0,0,2620,7.225,,C,629.0,"Al-Zainni, Mr. Fahim Ruhanna",22.0,"Toula, Lebanon",Cherbourg,"Dayton, Ohio, US",6,,3.0
570,1.0,3,"Jonsson, Mr. Carl",male,32.0,0,0,350417,7.8542,,S,912.0,"Jonsson, Mr. Carl",32.0,"Kalfsnäs, Småland, Sweden",Southampton,"Huntley, Illinois, US",15,,3.0
571,1.0,2,"Harris, Mr. George",male,62.0,0,0,S.W./PP 752,10.5,,S,436.0,"Harris, Mr. George",62.0,"London, England",Southampton,New York City,15,,2.0
573,1.0,1,"Flynn, Mr. John Irwin (""Irving"")",male,36.0,0,0,PC 17474,26.3875,E25,S,111.0,"Flynn, Mr. John Irwin",36.0,"Brooklyn, New York, US",Southampton,"Brooklyn, New York, US",5,,1.0
580,1.0,3,"Jussila, Mr. Eiriik",male,32.0,0,0,STON/O 2. 3101286,7.925,,S,914.0,"Jussila, Mr. Eiriik",32.0,"Elimäki, Finland",Southampton,"Monessen, Pennsylvania, US",15,,3.0
588,1.0,1,"Frolicher-Stehli, Mr. Maxmillian",male,60.0,1,1,13567,79.2,B41,C,123.0,"Frölicher, Mr. Maximilian Josef",60.0,"Zürich, Switzerland",Cherbourg,"New York, New York, US",5,,1.0
600,1.0,1,"Duff Gordon, Sir. Cosmo Edmund (""Mr Morgan"")",male,49.0,1,0,PC 17485,56.9292,A20,C,104.0,"Duff Gordon, Sir Cosmo Edmund",49.0,"London, England, UK",Cherbourg,"New York, New York, US",1,,1.0
605,1.0,1,"Homer, Mr. Harry (""Mr E Haven"")",male,35.0,0,0,111426,26.55,,C,165.0,"Homer, Mr. Harry (alias E. Haven)",40.0,"Indianapolis, Indiana, US",Southampton,"Indianapolis, Indiana, US",15,,1.0
608,1.0,1,"Daniel, Mr. Robert Williams",male,27.0,0,0,113804,30.5,,S,92.0,"Daniel, Mr. Robert Williams",27.0,"Philadelphia, Pennsylvania, US",Southampton,"Philadelphia, Pennsylvania, US",3,,1.0
622,1.0,1,"Kimball, Mr. Edwin Nelson Jr",male,42.0,1,0,11753,52.5542,D19,S,178.0,"Kimball, Mr. Edwin Nelson Jr.",42.0,"Boston, Massachusetts, US",Southampton,"Boston, Massachusetts, US",5,,1.0
623,1.0,3,"Nakid, Mr. Sahid",male,20.0,1,1,2653,15.7417,,C,1055.0,"Nackid, Mr. Sahid",20.0,"Zgharta, Lebanon",Cherbourg,"Waterbury, Connecticut, US",C,,3.0
631,1.0,1,"Barkworth, Mr. Algernon Henry Wilson",male,80.0,0,0,27042,30.0,A23,S,21.0,"Barkworth, Mr. Algernon Henry Wilson",47.0,"Hessle, East Yorkshire, England, UK",Southampton,"New York, New York, US",B,,1.0
633,1.0,1,"Stahelin-Maeglin, Dr. Max",male,32.0,0,0,13214,30.5,B50,C,277.0,"Stähelin-Maeglin, Dr. Max",32.0,"Basel, Switzerland",Southampton,"New York, New York, US",3,,1.0
644,1.0,3,"Foo, Mr. Choong",male,,0,0,1601,56.4958,,S,722.0,"Cheong, Mr. Foo",32.0,"Hong Kong, China",Southampton,New York City,C,,3.0
646,1.0,1,"Harper, Mr. Henry Sleeper",male,48.0,1,0,PC 17572,76.7292,D33,C,146.0,"Harper, Mr. Henry Sleeper",48.0,"New York, New York, US",Cherbourg,"New York, New York, US",3,,1.0
648,1.0,1,"Simonius-Blumer, Col. Oberst Alfons",male,56.0,0,0,13213,35.5,A26,C,260.0,"Simonius-Blumer, Colonel Alfons",56.0,"Basel, Switzerland",Southampton,"New York, New York, US",3,,1.0
661,1.0,1,"Frauenthal, Dr. Henry William",male,50.0,2,0,PC 17611,133.65,,S,120.0,"Frauenthal, Dr. Henry William",49.0,"London, England, UK",Southampton,"New York, New York, US",5,,1.0
665,1.0,3,"Lindqvist, Mr. Eino William",male,20.0,1,0,STON/O 2. 3101285,7.925,,S,977.0,"Lindqvist, Mr. Eino William",20.0,"Taalintehdas, Finland",Southampton,"Monessen, Pennsylvania, US",15,,3.0
674,1.0,2,"Wilhelms, Mr. Charles",male,31.0,0,0,244270,13.0,,S,602.0,"Whilems, Mr. Charles",32.0,"London, England",Southampton,New York City,9,,2.0
680,1.0,1,"Cardeza, Mr. Thomas Drake Martinez",male,36.0,0,1,PC 17755,512.3292,B51 B53 B55,C,52.0,"Cardeza, Mr. Thomas Drake Martinez",36.0,"Germantown, Pennsylvania, US",Cherbourg,"Germantown, Pennsylvania, US",3,,1.0
682,1.0,1,"Hassab, Mr. Hammad",male,27.0,0,0,PC 17572,76.7292,D49,C,147.0,"and dragoman, Mr. Hammad Hassab",27.0,"Cairo, Egypt",Cherbourg,"New York, New York, US",3,,1.0
691,1.0,1,"Dick, Mr. Albert Adrian",male,31.0,1,0,17474,57.0,B20,S,95.0,"Dick, Mr. Albert Adrian",31.0,"Calgary, Alberta, Canada",Southampton,"Calgary, Alberta, Canada",3,,1.0
693,1.0,3,"Lam, Mr. Ali",male,,0,0,1601,56.4958,,S,952.0,"Lam, Mr. Ali",37.0,"Hong Kong, China",Southampton,New York City,C,,3.0
702,1.0,1,"Silverthorne, Mr. Spencer Victor",male,35.0,0,0,PC 17475,26.2875,E24,S,257.0,"Silverthorne, Mr. Spencer Victor",35.0,"St Louis, Missouri, US",Southampton,"St Louis, Missouri, US",5,,1.0
708,1.0,1,"Calderhead, Mr. Edward Pennington",male,42.0,0,0,PC 17476,26.2875,E24,S,48.0,"Calderhead, Mr. Edward Pennington",42.0,"New York, New York, US",Southampton,"New York, New York, US",5,,1.0
710,1.0,3,"Moubarek, Master. Halim Gonios (""William George"")",male,,1,1,2661,15.2458,,C,1046.0,"Mubarik, Master Halim Gonios",4.0,"Hardîne, Lebanon",Cherbourg,"Houtzdale, Pennsylvania, US",C,,3.0
713,1.0,1,"Taylor, Mr. Elmer Zebley",male,48.0,1,0,19996,52.0,C126,S,294.0,"Taylor, Mr. Elmer Zebley",48.0,"London, England, UK",Southampton,"East Orange, New Jersey, US",5,,1.0
725,1.0,1,"Chambers, Mr. Norman Campbell",male,27.0,1,0,113806,53.1,E8,S,71.0,"Chambers, Mr. Norman Campbell",27.0,"New York, New York, US",Southampton,"New York, New York, US",5,,1.0
738,1.0,1,"Lesurer, Mr. Gustave J",male,35.0,0,0,PC 17755,512.3292,B101,C,53.0,"and valet, Mr. Gustave J. Lesueur",35.0,"Germantown, Pennsylvania, US",Cherbourg,"Germantown, Pennsylvania, US",3,,1.0
741,1.0,1,"Hawksford, Mr. Walter James",male,,0,0,16988,30.0,D45,S,151.0,"Hawksford, Mr. Walter James",45.0,"Kingston, Surrey, England, UK",Southampton,"New York, New York, US",3,,1.0
745,1.0,3,"Stranden, Mr. Juho",male,31.0,0,0,STON/O 2. 3101288,7.925,,S,1236.0,"Strandén, Mr. Juho Niilonpoika",31.0,"Muljula, Kitee, Finland",Southampton,"Duluth, Minnesota, US",9,,3.0
752,1.0,3,"Moor, Master. Meier",male,6.0,0,1,392096,12.475,E121,S,1035.0,"Moor, Master Meier",7.0,"Unknown, Russia",Southampton,"Chicago, Illinois, US",14,,3.0
756,1.0,2,"Hamalainen, Master. Viljo",male,0.67,1,1,250649,14.5,,S,432.0,"Hämäläinen, Master Viljo Unto Johannes (William Hamlin)",1.0,"Detroit, Michigan, US",Southampton,"Detroit, Michigan, US",4,,2.0
763,1.0,3,"Barah, Mr. Hanna Assi",male,20.0,0,0,2663,7.2292,,C,852.0,"Hanna, Mr. Borak Suleiman",27.0,"Hardîne, Lebanon",Cherbourg,"Wilkes-Barre, Pennsylvania, US",15,,3.0
789,1.0,3,"Dean, Master. Bertram Vere",male,1.0,1,2,C.A. 2315,20.575,,S,772.0,"Dean, Master Bertram Vere",1.0,"Bartley Farm, Hampshire, England",Southampton,"Wichita, Kansas, US",10,,3.0
803,1.0,1,"Carter, Master. William Thornton II",male,11.0,1,2,113760,120.0,B96 B98,S,63.0,"Carter, Master William Thornton II",11.0,"Bryn Mawr, Pennsylvania, US",Southampton,"Bryn Mawr, Pennsylvania, US",4,,1.0
804,1.0,3,"Thomas, Master. Assad Alexander",male,0.42,0,1,2625,8.5167,,C,1250.0,"Tannous, Master As'ad Iskandar Fa'ud",0.42,"Hardîne, Lebanon",Cherbourg,"Wilkes Barre, Pennsylvania, US",16,,3.0
805,1.0,3,"Hedman, Mr. Oskar Arvid",male,27.0,0,0,347089,6.975,,S,863.0,"Hedman, Mr. Oskar Arvid",27.0,"St. Paul, Minnesota, US",Southampton,"St. Paul, Minnesota, US",15,,3.0
822,1.0,3,"Lulic, Mr. Nikola",male,27.0,0,0,315098,8.6625,,S,986.0,"Lulić, Mr. Nikola",29.0,"Konjsko Brdo, Croatia",Southampton,"Chicago, Illinois, US",15,,3.0
828,1.0,2,"Mallet, Master. Andre",male,1.0,0,2,S.C./PARIS 2079,37.0042,,C,501.0,"Mallet, Master André Clément",1.0,"Montreal, Quebec, Canada",Cherbourg,"Montreal, Quebec, Canada",10,,2.0
829,1.0,3,"McCormack, Mr. Thomas Joseph",male,,0,0,367228,7.75,,Q,1007.0,"McCormack, Mr. Thomas Joseph",19.0,"Bayonne, New Jersey, US",Queenstown,"Guttenberg, New Jersey, US",15,,3.0
832,1.0,2,"Richards, Master. George Sibley",male,0.83,1,1,29106,18.75,,S,555.0,"Richards, Master Sibley George",0.75,"Penzance, Cornwall, England",Southampton,"Akron, Ohio, US",4,,2.0
839,1.0,3,"Chip, Mr. Chang",male,32.0,0,0,1601,56.4958,,S,720.0,"Chang, Mr. Chip",32.0,"Hong Kong, China",Southampton,New York City,C,,3.0
840,1.0,1,"Marechal, Mr. Pierre",male,,0,0,11774,29.7,C47,C,195.0,"Maréchal, Mr. Pierre, Sr.",28.0,"Paris, France",Cherbourg,"New York, New York, US",7,,1.0
858,1.0,1,"Daly, Mr. Peter Denis ",male,51.0,0,0,113055,26.55,E17,S,91.0,"Daly, Mr. Peter Dennis",51.0,"Lima, Peru",Southampton,"Lima, Peru",A,,1.0
870,1.0,3,"Johnson, Master. Harold Theodor",male,4.0,1,1,347742,11.1333,,S,903.0,"Johnson, Master Harold Theodor",4.0,"St. Charles, Illinois, US",Southampton,"St. Charles, Illinois, US",15,,3.0
890,1.0,1,"Behr, Mr. Karl Howell",male,26.0,0,0,111369,30.0,C148,C,28.0,"Behr, Mr. Karl Howell",26.0,"New York, New York, US",Cherbourg,"New York, New York, US",5,,1.0
